해리스 트위드 헤링턴 재킷,12,1,"593,100",10,"스코틀랜드 전통 방식으로 직접 직조한 울 100%의 해리스 트위드 원단으로 제작한 재킷입니다. 착용감이 가볍고 따뜻할 뿐 아니라 뛰어난 복원력과 내구성을 자랑합니다. 헤링턴 점퍼 디자인이 캐주얼하면서도 클래식한 느낌을 주어 유행과 상관없이 오랫동안 입기 좋은 아이템입니다.",애쉬,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/BPBR/24/10/30/GM0024103023925_0_THNAIL_ORGINL_20241030183215570.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
폴리 헌팅 디테일 퀼팅 재킷,12,1,"485,100",10,"클래식한 다이아 퀼팅의 쇼트 헌팅 재킷입니다. 실용적인 폴리에스터 소재로 제작된 점퍼로 전체 클래식한 다이아 퀼팅이 되어있습니다. 칼라 부분이 굵은 골의 코듀로이 원단으로 패치가 되어 있으며, 소매 안쪽을 체크원단을 사용해 접었을 때 포인트가 되어줍니다. 볼륨감 있는 스커트나 캐주얼한 팬츠랑 코디하기 좋은 아이템입니다.",베이지,NULL,0,,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
해리스 트위드 테일러드 재킷,12,1,"593,100",10,"스코틀랜드 전통 방식으로 직접 직조한 울 100% 해리스 트위드 원단 재킷입니다. 가볍고 따뜻한 착용감뿐 아니라 뛰어난 복원력과 내구성을 자랑합니다. 어떤 아이템과도 잘 어울리는 클래식한 핏과 컬러로 유행에 상관없이 오랫동안 입기 좋은 아이템입니다.",카키,NULL,0,,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
헤링본 미디엄 재킷,12,1,"629,100",10,"은은한 헤링본 패턴이 있는 따뜻한 외관의 울 재킷입니다. 경쾌한 기장과 멋스럽게 툭 떨어지는 오버핏 실루엣입니다. 안에 니트 풀오버나 블라우스, 셔츠와 함께 데님과 캐주얼하게 입기에도 좋고, 원피스와 같이 여성스럽게 착용하기에도 좋습니다. 함께 입는 아이템에 따라 여러 가지 스타일을 연출할 수 있는 데일리 아이템입니다. BF4X27C084 스커트와 세트로 연출할 수 있습니다.",그레이,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/BPBR/24/09/25/GM0024092542261_0_THNAIL_ORGINL_20240927145426514.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
해리스 트위드 헤링턴 재킷,12,1,"593,100",10,"스코틀랜드 전통 방식으로 직접 직조한 울 100%의 해리스 트위드 원단으로 제작한 재킷입니다. 착용감이 가볍고 따뜻할 뿐 아니라 뛰어난 복원력과 내구성을 자랑합니다. 헤링턴 점퍼 디자인이 캐주얼하면서도 클래식한 느낌을 주어 유행과 상관없이 오랫동안 입기 좋은 아이템입니다.",애쉬,NULL,0,,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
트위드 미디엄 재킷,12,1,"683,100",10,"엉덩이를 덮는 기장으로 제작된 트위드 재킷입니다. 깔끔한 컬러의 트위드 소재를 사용하였으며, 네크와 앞여밈 부분에 테이프 디테일로 포인트를 주었습니다. 베이직한 라운드넥 디자인으로 포멀 룩부터 캐주얼 룩까지 다양하게 연출할 수 있습니다.",블랙,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/BPBR/24/08/12/GM0024081241021_0_THNAIL_ORGINL_20241023190056331.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
니트 소매 쇼트 다운 재킷,12,1,"593,100",10,"부드러운 폴리 소재로 만든 다운 재킷입니다. 네크와 소매, 등에 따뜻하고 헤어리 있는 울 혼방 니트를 달아 보온은 물론 여성스럽고 편안한 룩을 연출할 수 있습니다. 경쾌한 기장감과 편안한 실루엣으로 데님이나 스커트와 잘 어울리는 가벼운 다운 재킷입니다.",브라운,NULL,0,,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
울 핸드메이드 재킷,12,1,"629,100",10,"여유로운 실루엣의 재킷형 코트입니다. 부드러운 울 캐시미어 혼방 소재에 섬세한 수작업으로 제작하여 가벼우면서도 따뜻합니다. 군더더기 없이 깔끔한 디자인과 자연스럽게 떨어지는 어깨선이 편안한 실루엣을 연출합니다. 도톰한 소재로 초겨울까지 입기 좋으며, 화사한 컬러가 포인트가 되어줍니다.",베이지,NULL,0,,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
니트 하이넥 폴리 미니멀 다운 베스트,12,1,"359,100",10,"가볍게 입기 좋은 다운 베스트입니다. 다운을 아주 얇게 넣어 따뜻하면서도 깃털처럼 가볍습니다. 스탠드 넥 부분과 밑단을 니트로 잡아주어 볼륨감 있는 실루엣을 연출합니다. 초가을부터 한겨울까지 가볍게 레이어드하기 좋은 디자인입니다.",블랙,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/BPBR/24/09/06/GM0024090683047_0_THNAIL_ORGINL_20240911125110762.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
토글 디테일 쇼트 다운 베스트,12,1,"395,100",10,"부드러운 폴리 소재로 만든 다운 베스트입니다. 네크와 밑단에 포근한 울 혼방 니트를 달아 보온성을 주고, 토글 디테일로 클래식한 포인트를 주었습니다. A라인의 스커트나 큐롯 팬츠와 함께 부츠 코디를 하면 여성스러운 룩이 완성됩니다.",아이보리,NULL,0,,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
