니트 8부 팬츠,14,1,"287,100",10,"밑단까지 여유롭게 떨어지는 와이드 실루엣의 8부 기장 니트 팬츠입니다. 울 혼방 소재의 따뜻함과 허리에 밴드를 사용해 편안한 착용감을 전합니다. BF4Y5UC010 니트 베스트와 셋업으로 스타일링 하기 좋습니다. 편안한 실루엣으로 편안하게 착장 가능하며, 셋업으로 착용하면 세련되고 우아한 느낌을 줄 수 있는 아이템입니다.",아이보리,"겉감: 모 67%, 아크릴 28%, 폴리에스터 4%, 폴리우레탄 1%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/BPBR/24/10/28/GM0024102882421_0_THNAIL_ORGINL_20241029170412903.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
벨벳 배기 데님 팬츠,14,1,"233,100",10,"볼륨핏으로 떨어지는 배기 실루엣이 매력적인 데님 팬츠입니다. 겨울철 활용하기 좋은 진한 색상과 피치 가공으로 구현한 벨벳 느낌의 표면이 따뜻한 분위기를 자아냅니다. 가을부터 겨울까지 다양한 상의와 함께 매치하여 캐주얼한 룩을 연출할 수 있습니다.",다크네이비,"겉감(지조직): 면 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/BPBR/24/10/17/GM0024101731732_0_THNAIL_ORGINL_20241018113027049.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
기모 와이드 데님 팬츠,14,1,"215,100",10,"직사각형 모양의 빅사이즈 뒷포켓이 포인트가 되는 와이드 데님 팬츠입니다. 와이드한 실루엣에 발등을 살짝 덮는 기장감으로 어디에나 편하게 코디할 수 있으며, 안쪽 면에 기모 처리가 되어 있어 겨울철에도 따뜻하게 착용이 가능합니다. 뒤 벨트 고리에 디테일이 있어, 얇은 벨트와 매칭하시면 더욱 멋스럽게 연출할 수 있습니다.",블루,"겉감 : 면 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/BPBR/24/10/02/GM0024100235434_0_THNAIL_ORGINL_20241105182751471.jpg?isCDNTester=true,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
[Essential] 스트레이트 기모 데님 팬츠,14,1,"179,100",10,"가을에 입기 좋은 짙은 그레이 컬러 스트레이트핏 데님 팬츠입니다. 내구성과 신축성이 좋은 면, 스판 혼방 소재로 제작되었으며, 팬츠 안쪽 기모감으로 보온성이 좋은 아이템입니다. 살짝 여유 있게 일자로 떨어지는 실루엣으로 다양한 상의와 연출하기 좋습니다.",애쉬,NULL,0,,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
기모 오버 다잉 와이드 데님 팬츠,14,1,"233,100",10,"여유 있게 떨어지는 와이드 배기 실루엣이 매력적인 데님 팬츠입니다. 부드럽게 기모 처리된 피치 데님 소재로 제작되었으며, 피그먼트 염색 과정을 통해 구현한 따뜻한 색상이 돋보입니다. 매력적인 색감으로 단독 착용만으로도 포인트가 되며, 어떤 상의에도 멋스럽게 연출할 수 있습니다.",카키,"겉감: 면 100%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/BPBR/24/10/17/GM0024101731730_0_THNAIL_ORGINL_20241018113025660.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
생지 와이드 데님 팬츠,14,1,"215,100",10,"밑단까지 여유있게 떨어지는 실루엣이 돋보이는 생지 데님 소재의 와이드핏 팬츠입니다. 단단하지만 부드러운 생지 소재로 제작였으며, 뒤 포켓에 배색 자수 포인트가 돋보이는 아이템입니다. 꾸준히 사랑받는 베이직 스타일로 캐주얼, 클래식 어떤 무드에나 활용할 수 있는 기본 아이템입니다.",인디고,"겉감: 면 99%, 폴리우레탄 1%.",https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/BPBR/24/10/04/GM0024100455077_0_THNAIL_ORGINL_20241010152654299.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
코듀로이 와이드핏 팬츠,14,1,"233,100",10,"밑단까지 여유 있게 떨어지는 코듀로이 소재의 와이드핏 팬츠입니다. 단단하지만 부드럽고 신축성이 좋은 면 혼방 소재로 제작하였습니다. 캐주얼한 디자인과 따뜻한 분위기의 아이보리 색상이 돋보이는 아이템입니다. 가을철 다양한 상의와 함께 매치하여 캐주얼하고 세련된 룩을 연출할 수 있습니다.",아이보리,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/BPBR/24/10/21/GM0024102179786_0_THNAIL_ORGINL_20241023120159575.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
[Essential] 배기 기모 치노 팬츠,14,1,"215,100",10,"따뜻한 터치감이 느껴지는 카키 컬러의 치노 팬츠입니다. 하단으로 갈수록 좁아지는 배기핏으로 편안하게 착용 가능하며, 살짝 기모감이 있어 가을과 겨울 사이에 입기 좋습니다. 베이직한 디자인으로 다양한 상의와 코디하기 좋습니다.",카키,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/BPBR/24/08/27/GM0024082790147_0_THNAIL_ORGINL_20240919121126033.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
기모 부츠컷 데님 팬츠,14,1,"215,100",10,"무릎 아래에서부터 발목까지 살짝 넓어지는 실루엣으로 착용 시 날씬해 보이는 세미 부츠컷 데님 팬츠입니다. 텐션감이 있는 원단으로 제작하여 착용감이 편안하며, 안쪽 원단에 기모 처리가 되어 있어 겨울철에도 따뜻하게 착용이 가능합니다. 가을부터 다가오는 겨울까지 어떤 착장에나 고민 없이 선택할 수 있는 만능 아이템입니다.",블랙,NULL,https://img.ssfshop.com/cmd/LB_750x1000/src/https://img.ssfshop.com/goods/BPBR/24/09/19/GM0024091975421_0_THNAIL_ORGINL_20241011181314788.jpg,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
[Essential] 기모 치노 와이드 팬츠,14,1,"215,100",10,"신축성이 있는 면, 폴리 혼방 소재로 제작한 기모 와이드 치노 팬츠입니다. 꾸준히 사랑받는 에센셜 와이드핏으로, 적당한 와이드 실루엣과 발목 아래로 조금 내려오는 기장감이 안정적인 착용감을 선사합니다. 기본 니트 혹은 셔츠와 데일리 아이템으로 활용하기 좋습니다.",베이지,NULL,0,,NULL,NULL,0,0,SYSDATE,SYSDATE,1,NULL,0,100
